"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 18:14:08 GMT 2023","Tue Jul 18 18:14:17 GMT 2023","9566","","Dynamic Controls page: /dynamic_controls","","com.dotdash.takehome.tests.DynamicControlsTest","verifyInputFieldIsEnabledDisableOnEnableDisableButtonClick","Verify input field is enabled / disable on enable / disable button click",""
"passed","Tue Jul 18 18:13:54 GMT 2023","Tue Jul 18 18:13:58 GMT 2023","3574","","com.dotdash.takehome.tests.HoversTest","","com.dotdash.takehome.tests.HoversTest","floatingMenuShowsUpIfHoveredOverUserProfilePicture"," Floating Menu Shows Up If Hovered Over User Profile Picture When floating cursor over user 3, hidden info for User 3 pops up",""
"passed","Tue Jul 18 18:15:22 GMT 2023","Tue Jul 18 18:15:25 GMT 2023","3552","","com.dotdash.takehome.tests.FloatingMenuTest","","com.dotdash.takehome.tests.FloatingMenuTest","verifyMenuStaysAtTopDuringScrollWithThreadSleep","Verify menu stays at top during scroll with Thread.sleep",""
"passed","Tue Jul 18 18:15:18 GMT 2023","Tue Jul 18 18:15:22 GMT 2023","3728","","File Download page: /download","","com.dotdash.takehome.tests.FileDownloadTest","fileDownloaded_withHTTPClient","fileDownloaded_withHTTPClient()",""
"passed","Tue Jul 18 18:13:51 GMT 2023","Tue Jul 18 18:13:54 GMT 2023","3609","","com.dotdash.takehome.tests.HoversTest","","com.dotdash.takehome.tests.HoversTest","floatingMenuShowsUpIfHoveredOverUserProfilePicture"," Floating Menu Shows Up If Hovered Over User Profile Picture When floating cursor over user 2, hidden info for User 2 pops up",""
"passed","Tue Jul 18 18:15:36 GMT 2023","Tue Jul 18 18:15:40 GMT 2023","3704","","com.dotdash.takehome.tests.FormAuthenticationTest","","com.dotdash.takehome.tests.FormAuthenticationTest","login_withInvalidPassword","login_withInvalidPassword()",""
"passed","Tue Jul 18 18:15:25 GMT 2023","Tue Jul 18 18:15:29 GMT 2023","3572","","com.dotdash.takehome.tests.FloatingMenuTest","","com.dotdash.takehome.tests.FloatingMenuTest","verifyMenuStaysAtTopDuringScrollWithWhileLoop","Verify menu stays at top during scroll with while loop",""
"passed","Tue Jul 18 18:15:48 GMT 2023","Tue Jul 18 18:15:56 GMT 2023","8546","","com.dotdash.takehome.tests.DynamicLoadingTest","","com.dotdash.takehome.tests.DynamicLoadingTest","showRenderedAfterTheFactText","showRenderedAfterTheFactText()",""
"passed","Tue Jul 18 18:14:57 GMT 2023","Tue Jul 18 18:15:02 GMT 2023","5544","","com.dotdash.takehome.tests.IframeTest","","com.dotdash.takehome.tests.IframeTest","textEditorTestAlignment","textEditorTestAlignment()",""
"passed","Tue Jul 18 18:15:29 GMT 2023","Tue Jul 18 18:15:33 GMT 2023","3779","","com.dotdash.takehome.tests.FormAuthenticationTest","","com.dotdash.takehome.tests.FormAuthenticationTest","login_withBlankUsername","login_withBlankUsername()",""
